HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Chromosome	Gene Family Name	UniProt ID(supplied by UniProt)
HGNC:32009	IFNNP1			9p21.3	Interferons	
HGNC:5447	IFNR			16		
HGNC:5448	IFNW1			9p21.3	Interferons	P05000
HGNC:5452	IFNWP2			9p21.3	Interferons	
HGNC:5453	IFNWP4			9p21.3	Interferons	
HGNC:5454	IFNWP5			9p21.3	Interferons	
HGNC:5455	IFNWP9			9p21.3	Interferons	
HGNC:5449	IFNWP15			9p21.3	Interferons	
HGNC:5450	IFNWP18		pseudo-IFN-alpha-m	9p21.3	Interferons	
HGNC:5451	IFNWP19			9p21.3	Interferons	
HGNC:5456	IFRD1		PC4, TIS7	7q31.1		O00458
HGNC:5457	IFRD2		SKMc15, SM15, IFNRP	3p21.31		Q12894
HGNC:30989	IFT20			17q11.2	Intraflagellar transport proteins	Q8IY31
HGNC:21895	IFT22	RABL5	FLJ14117, FLJ13225, DKFZp761N0823	7q22.1	Intraflagellar transport proteins|RAB like GTPases	Q9H7X7
HGNC:18626	IFT27	RABL4	RAYL, BBS19	22q12.3	Bardet-Biedl syndrome associated|Intraflagellar transport proteins|RAB, member RAS oncogene GTPases	Q9BW83
HGNC:29669	IFT43	C14orf179	FLJ32173, MGC16028	14q24.3	Intraflagellar transport proteins	Q96FT9
HGNC:26146	IFT46	C11orf60	C11orf2, FLJ21827, CFAP32	11q23.3	Intraflagellar transport proteins	Q9NQC8
HGNC:15901	IFT52	C20orf9	CGI-53, NGD5, dJ1028D15.1, NGD2	20q13.12	Intraflagellar transport proteins	Q9Y366
HGNC:17367	IFT57	ESRRBL1	FLJ10147, HIPPI, MHS4R2	3q13.12-q13.13	Intraflagellar transport proteins	Q9NWB7
HGNC:21424	IFT74	CCDC2	CMG1, CMG-1, FLJ22621	9p21.2	Intraflagellar transport proteins	Q96LB3
HGNC:49806	IFT74-AS1			9p21.2		
HGNC:29262	IFT80	WDR56	KIAA1374	3q25.33	Intraflagellar transport proteins|WD repeat domain containing	Q9P2H3
HGNC:14313	IFT81	CDV1	CDV-1R, MGC4027	12q24.11	Intraflagellar transport proteins	Q8WYA0
HGNC:20606	IFT88	TTC10	hTg737, Tg737, D13S1056E, MGC26259	13q12.11	Intraflagellar transport proteins|Tetratricopeptide repeat domain containing	Q13099
HGNC:13556	IFT122	WDR10	WDR140, WDR10p, SPG	3q21.3-q22.1	Intraflagellar transport proteins|WD repeat domain containing	Q9HBG6
HGNC:29077	IFT140	WDTC2	gs114, KIAA0590	16p13.3	Intraflagellar transport proteins|WD repeat domain containing	Q96RY7
HGNC:30391	IFT172		SLB, wim, osm-1, NPHP17, BBS20	2p23.3	Bardet-Biedl syndrome associated|Intraflagellar transport proteins|WD repeat domain containing	Q9UG01
HGNC:5459	IGAD1			6p21.3		
HGNC:5461	IGBP1	IBP1		Xq13.1	Protein phosphatase 2 modulatory subunits	P78318
HGNC:40295	IGBP1-AS1			Xq13.1		
HGNC:40294	IGBP1-AS2			Xq13.1		
HGNC:19709	IGBP1P1	C14orf19		14q13.2		
HGNC:43611	IGBP1P2			17q22		
HGNC:43612	IGBP1P3			3p22.3		
HGNC:43613	IGBP1P4			4q21.22		
HGNC:43614	IGBP1P5			4p15.2		
HGNC:9700	IGDCC3	PUNC	HsT18880	15q22.31	I-set domain containing|Fibronectin type III domain containing	Q8IVU1
HGNC:13770	IGDCC4		NOPE, LOC57722	15q22.31	I-set domain containing|Immunoglobulin like domain containing|Fibronectin type III domain containing	Q8TDY8
HGNC:5463	IGES			5q31.1		
HGNC:5464	IGF1		IGF1A, IGFI, IGF-I	12q23.2	Endogenous ligands	P05019
HGNC:5465	IGF1R		JTK13, CD221, IGFIR, MGC18216, IGFR	15q26.3	CD molecules|Fibronectin type III domain containing|Receptor Tyrosine Kinases	P08069
HGNC:5466	IGF2	C11orf43	FLJ44734, IGF-II	11p15.5		P01344
HGNC:14062	IGF2-AS	IGF2AS	PEG8, IGF2-AS1	11p15.5	Long non-coding RNAs	Q6U949
HGNC:28866	IGF2BP1		IMP-1	17q21.32	RNA binding motif containing	Q9NZI8
HGNC:28867	IGF2BP2		IMP-2	3q27.2	RNA binding motif containing	Q9Y6M1
HGNC:32674	IGF2BP2-AS1	C3orf65	FLJ32900	3q27.2		Q96M15
HGNC:28868	IGF2BP3		IMP-3, CT98, IMP3	7p15.3	RNA binding motif containing	O00425
HGNC:5467	IGF2R		CD222, MPRI, MPR1, CIMPR, M6P-R, CI-M6PR, CI-MPR, MPR300	6q25.3	CD molecules|MRH domain containing 	P11717
HGNC:5468	IGFALS		ALS	16p13.3		P35858
HGNC:5469	IGFBP1	IBP1	IGF-BP25, AFBP, hIGFBP-1, PP12	7p12.3	Insulin like growth factor binding proteins	P08833
HGNC:5471	IGFBP2	IBP2		2q35	Insulin like growth factor binding proteins	P18065
HGNC:5472	IGFBP3		IBP3, BP-53	7p12.3	Insulin like growth factor binding proteins	P17936
HGNC:5473	IGFBP4		IBP4, BP-4, HT29-IGFBP, IGFBP-4	17q21.2	Insulin like growth factor binding proteins	P22692
HGNC:5474	IGFBP5			2q35	Insulin like growth factor binding proteins	P24593
HGNC:5475	IGFBP6			12q13.13	Insulin like growth factor binding proteins	P24592
HGNC:5476	IGFBP7		MAC25, IGFBP-7, PSF, FSTL2	4q12	I-set domain containing	Q16270
HGNC:40296	IGFBP7-AS1			4q12		
HGNC:20081	IGFBPL1		bA113O24.1	9p13.1	I-set domain containing	Q8WX77
HGNC:24093	IGFL1		UNQ644	19q13.32		Q6UW32
HGNC:32956	IGFL1P1		IGFL-5P	19q13.32		
HGNC:32957	IGFL1P2		IGFL-6P	19q13.32		
HGNC:32929	IGFL2		UNQ645	19q13.32		Q6UWQ7
HGNC:52559	IGFL2-AS1			19q13.32		
HGNC:32930	IGFL3		UNQ483	19q13.32		Q6UXB1
HGNC:32931	IGFL4			19q13.32		Q6B9Z1
HGNC:23620	IGFLR1	U2AF1L4, TMEM149	FLJ22573	19q13.12		Q9H665
HGNC:24607	IGFN1		DKFZp434B1231, EEF1A2BP1	1q32.1	I-set domain containing|Fibronectin type III domain containing	Q86VF2
HGNC:5477	IGH	IGHDY1, IGH@		14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5478	IGHA1			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01876
HGNC:5479	IGHA2			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01877
HGNC:5480	IGHD		FLJ00382, FLJ46727, MGC29633	14q32.33	Immunoglobulin heavy locus at 14q32.33	P01880
HGNC:5482	IGHD1-1		IGHD11	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5486	IGHD1-7		DM1, IGHD17	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5483	IGHD1-14		IGHD114, DM2	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5484	IGHD1-20		IGHD120	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5485	IGHD1-26		IGHD126	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5487	IGHD1OR15-1A		IGHD1/OR15-1A, IGHD1OR151A	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5488	IGHD1OR15-1B		IGHD1/OR15-1B, IGHD1OR151B	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5490	IGHD2-2		IGHD22	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5492	IGHD2-8		IGHD28, DLR1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5489	IGHD2-15		IGHD215, D2	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5491	IGHD2-21		IGHD221	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5493	IGHD2OR15-2A		IGHD2/OR15-2A, IGHD2OR152A	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5494	IGHD2OR15-2B		IGHD2/OR15-2B, IGHD2OR152B	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5498	IGHD3-3		IGHD33, DXP4	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5499	IGHD3-9		IGHD39, DXP1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5495	IGHD3-10		IGHD310, DXP'1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5496	IGHD3-16		IGHD316	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5497	IGHD3-22		IGHD322	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5500	IGHD3OR15-3A		IGHD3/OR15-3A, IGHD3OR153A	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5501	IGHD3OR15-3B		IGHD3/OR15-3B, IGHD3OR153B	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5505	IGHD4-4		IGHD44, DA4	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5502	IGHD4-11		IGHD411, DA1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5503	IGHD4-17		IGHD417	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5504	IGHD4-23		IGHD423	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5506	IGHD4OR15-4A		IGHD4/OR15-4A, IGHD4OR154A	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5507	IGHD4OR15-4B		IGHD4/OR15-4B, IGHD4OR154B	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5511	IGHD5-5		IGHD55, DK4	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5508	IGHD5-12		IGHD512, DK1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5509	IGHD5-18		IGHD518	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5510	IGHD5-24		IGHD524	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5512	IGHD5OR15-5A		IGHD5/OR15-5A, IGHD5OR155A	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5513	IGHD5OR15-5B		IGHD5/OR15-5B, IGHD5OR155B	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5517	IGHD6-6		IGHD66, D(N4)	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5514	IGHD6-13		IGHD613, DN1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5515	IGHD6-19		IGHD619	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5516	IGHD6-25		IGHD625	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5518	IGHD7-27		IGHD727, DHQ52	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5522	IGHE			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01854
HGNC:5523	IGHEP1			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5524	IGHEP2			9p24.1	Immunoglobulin heavy (IGH) orphons	
HGNC:5525	IGHG1			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01857
HGNC:5526	IGHG2			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01859
HGNC:5527	IGHG3			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01860
HGNC:5528	IGHG4			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01861
HGNC:5529	IGHGP	IGHGP1		14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5532	IGHJ1			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5533	IGHJ1P		Jpsi1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5534	IGHJ2			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5535	IGHJ2P		Jpsi2	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5536	IGHJ3			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5537	IGHJ3P		Jpsi3	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5538	IGHJ4			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5539	IGHJ5			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5540	IGHJ6			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5541	IGHM			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01871
HGNC:5542	IGHMBP2		ZFAND7, SMUBP2, CATF1, SMARD1, HCSA, HMN6, CMT2S	11q13.3	UPF1 like RNA helicases|Zinc fingers AN1-type	P38935
HGNC:5550	IGHV1-2		V35	14q32.33	Immunoglobulin heavy locus at 14q32.33	P23083
HGNC:5552	IGHV1-3		VI-3B	14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH29
HGNC:5559	IGHV1-8			14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5546	IGHV1-12			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5547	IGHV1-14			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5548	IGHV1-17			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5549	IGHV1-18			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH31
HGNC:5551	IGHV1-24			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH33
HGNC:5560	IGHV1-38-4	IGHV1-C	IGHV1-c	14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5553	IGHV1-45			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0A0MS14
HGNC:5554	IGHV1-46			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01743
HGNC:5555	IGHV1-58			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH39
HGNC:5556	IGHV1-67			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5557	IGHV1-68			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5558	IGHV1-69	IGHV1-E		14q32.33	Immunoglobulin heavy locus at 14q32.33	P01742
HGNC:5562	IGHV1-69-2	IGHV1-F	IGHV1-f	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:49601	IGHV1-69D			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5563	IGHV1OR15-1		IGHV1/OR15-1	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5564	IGHV1OR15-2		IGHV1/OR15-2	15q11.1	Immunoglobulin heavy (IGH) orphons	
HGNC:5565	IGHV1OR15-3		IGHV1/OR15-3	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5566	IGHV1OR15-4		IGHV1/OR15-4	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5567	IGHV1OR15-5		IGHV1/OR15-5	15q11.2 not on reference assembly	Immunoglobulin heavy (IGH) orphons	
HGNC:5568	IGHV1OR15-6		IGHV1/OR15-6	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5569	IGHV1OR15-9	VSIG7	IGHV1/OR15-9, IGHV1OR159	15q11.1	Immunoglobulin heavy (IGH) orphons	
HGNC:5570	IGHV1OR16-1		IGHV1/OR16-1	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5571	IGHV1OR16-2		IGHV1/OR16-2	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5572	IGHV1OR16-3		IGHV1/OR16-3	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5573	IGHV1OR16-4		IGHV1/OR16-4	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:38040	IGHV1OR21-1		IGHV1/OR21-1	21p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5576	IGHV2-5			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01817
HGNC:5574	IGHV2-10			14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5575	IGHV2-26			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1V2
HGNC:5577	IGHV2-70			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01814
HGNC:49602	IGHV2-70D			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5579	IGHV2OR16-5		IGHV2/OR16-5	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5613	IGHV3-6			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5620	IGHV3-7			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01780
HGNC:5628	IGHV3-9			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01782
HGNC:5580	IGHV3-11			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01762
HGNC:5581	IGHV3-13			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01766
HGNC:5582	IGHV3-15			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1V0
HGNC:5583	IGHV3-16			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5584	IGHV3-19			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5585	IGHV3-20			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5586	IGHV3-21			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1V1
HGNC:5587	IGHV3-22			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5588	IGHV3-23			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01764
HGNC:5589	IGHV3-25			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5590	IGHV3-29			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5591	IGHV3-30			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01768
HGNC:5592	IGHV3-30-2			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5593	IGHV3-30-3			14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5594	IGHV3-30-5			14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5595	IGHV3-32			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5596	IGHV3-33			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01772
HGNC:5597	IGHV3-33-2			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5598	IGHV3-35			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5599	IGHV3-36			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5600	IGHV3-37			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5601	IGHV3-38			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5629	IGHV3-38-3	IGHV3-D	IGHV3-d	14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5602	IGHV3-41			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5603	IGHV3-42			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5604	IGHV3-43			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1X8
HGNC:50322	IGHV3-43D			14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5605	IGHV3-47			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5606	IGHV3-48			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01763
HGNC:5607	IGHV3-49			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0A0MS15
HGNC:5608	IGHV3-50			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5609	IGHV3-52			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5610	IGHV3-53			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01767
HGNC:5611	IGHV3-54			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5612	IGHV3-57			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5614	IGHV3-60			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5615	IGHV3-62			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5616	IGHV3-63			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5617	IGHV3-64			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A075B6Q5
HGNC:49603	IGHV3-64D			14q32.33		
HGNC:5618	IGHV3-65			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5619	IGHV3-66			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH42
HGNC:5631	IGHV3-69-1	IGHV3-H	IGHV3-h	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5621	IGHV3-71	IGHV3-G	IGHV3-g	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5622	IGHV3-72			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1Y9
HGNC:5623	IGHV3-73			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1V6
HGNC:5624	IGHV3-74			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1X5
HGNC:5625	IGHV3-75			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5626	IGHV3-76			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5627	IGHV3-79			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5633	IGHV3OR15-7		IGHV3/OR15-7	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5641	IGHV3OR16-6		IGHV3/OR16-6	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5642	IGHV3OR16-7		IGHV3/OR16-7	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5643	IGHV3OR16-8		IGHV3/OR16-8	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5644	IGHV3OR16-9		IGHV3/OR16-9	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5634	IGHV3OR16-10		IGHV3/OR16-10	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5635	IGHV3OR16-11		IGHV3/OR16-11	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5636	IGHV3OR16-12		IGHV3/OR16-12	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5637	IGHV3OR16-13		IGHV3/OR16-13	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5638	IGHV3OR16-14		IGHV3/OR16-14	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5639	IGHV3OR16-15		IGHV3/OR16-15	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5640	IGHV3OR16-16		IGHV3/OR16-16	16p11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5652	IGHV4-4			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A075B6R2
HGNC:5645	IGHV4-28			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH34
HGNC:5646	IGHV4-30-1			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5647	IGHV4-30-2		IGHV4-3, IGHV4302	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5648	IGHV4-30-4		IGHV4-3, IGHV4304	14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5649	IGHV4-31			14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5650	IGHV4-34			14q32.33	Immunoglobulin heavy locus at 14q32.33	P06331
HGNC:5657	IGHV4-38-2	IGHV4-B		14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5651	IGHV4-39			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01824
HGNC:5653	IGHV4-55			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5654	IGHV4-59			14q32.33	Immunoglobulin heavy locus at 14q32.33	P01825
HGNC:5655	IGHV4-61			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH41
HGNC:5656	IGHV4-80			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5658	IGHV4OR15-8	VSIG6	IGHV4/OR15-8, IGHV4OR158	15q11.2	Immunoglobulin heavy (IGH) orphons	
HGNC:5661	IGHV5-10-1	IGHV5-A	IGHV5-a	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5659	IGHV5-51			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0C4DH38
HGNC:5660	IGHV5-78			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5662	IGHV6-1			14q32.33	Immunoglobulin heavy locus at 14q32.33	A0A0B4J1U7
HGNC:5665	IGHV7-4-1			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5663	IGHV7-27			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5664	IGHV7-34-1			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5666	IGHV7-40			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5667	IGHV7-56			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5669	IGHV7-81			14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5670	IGHVII-1-1		IGHV(II)-1-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5671	IGHVII-15-1		IGHV(II)-15-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5672	IGHVII-20-1		IGHV(II)-20-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5673	IGHVII-22-1		IGHV(II)-22-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5674	IGHVII-26-2		IGHV(II)-26-2	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5675	IGHVII-28-1		IGHV(II)-28-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5676	IGHVII-30-1		IGHV(II)-30-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:52400	IGHVII-30-21		IGHV(II)-30-21	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5677	IGHVII-31-1		IGHV(II)-31-1	14q32.33 not on reference assembly	Immunoglobulin heavy locus at 14q32.33	
HGNC:5678	IGHVII-33-1		IGHV(II)-33-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5679	IGHVII-40-1		IGHV(II)-40-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5680	IGHVII-43-1		IGHV(II)-43-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5681	IGHVII-44-2		IGHV(II)-44-2	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5682	IGHVII-46-1		IGHV(II)-46-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5683	IGHVII-49-1		IGHV(II)-49-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5684	IGHVII-51-2		IGHV(II)-51-2	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5685	IGHVII-53-1		IGHV(II)-53-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5686	IGHVII-60-1		IGHV(II)-60-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5687	IGHVII-62-1		IGHV(II)-62-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5688	IGHVII-65-1		IGHV(II)-65-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5689	IGHVII-67-1		IGHV(II)-67-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
HGNC:5690	IGHVII-74-1		IGHV(II)-74-1	14q32.33	Immunoglobulin heavy locus at 14q32.33	
